COMMON NAME,HABITAT
Swallow-tailed Kite,Forests
Boat-tailed Grackle,Marshes
Least Tern,Shorelines
White-crowned Sparrow,Scrub
Nelson's Sparrow,Marshes
Red-necked Grebe,Lakes and Ponds
Cliff Swallow,Lakes and Ponds
Black-headed Gull,Lakes and Ponds
Cackling Goose,Lakes and Ponds
Eurasian Wigeon,Lakes and Ponds
Limpkin,Marshes
Bullock's Oriole,Open Woodlands
Burrowing Owl,Grasslands
Townsend's Solitaire,Open Woodlands
Bobolink,Grasslands
Purple Sandpiper,Shorelines
Bonaparte's Gull,Lakes and Ponds
Mallard,Lakes and Ponds
Golden Eagle,Grasslands
Black-billed Cuckoo,Forests
House Finch,Towns
Mississippi Kite,Open Woodlands
Sulphur-bellied Flycatcher,Forests
Killdeer,Grasslands
Caspian Tern,Shorelines
Western Grebe,Lakes and Ponds
Pacific Loon,Lakes and Ponds
American Goldfinch,Open Woodlands
Black-necked Stilt,Marshes
Gray-cheeked Thrush,Forests
Ivory Gull,Oceans
Hudsonian Godwit,Shorelines
Hooded Merganser,Lakes and Ponds
Great Crested Flycatcher,Open Woodlands
Red Phalarope,Oceans
Chukar,Scrub
Yellow-rumped Warbler,Forests
Cinnamon Teal,Marshes
Willow Flycatcher,Marshes
White-faced Ibis,Marshes
Canada Goose,Marshes
Northern Rough-winged Swallow,Rivers and Streams
White-throated Sparrow,Forests
Red-eyed Vireo,Forests
Grace's Warbler,Forests
Graylag Goose,Marshes
Merlin,Forests
Boreal Owl,Forests
American Barn Owl,Grasslands
Bank Swallow,Lakes and Ponds
Winter Wren,Forests
Common Murre,Oceans
Spruce Grouse,Forests
Chimney Swift,Towns
Belted Kingfisher,Lakes and Ponds
American Flamingo,Shorelines
Snowy Egret,Marshes
Indigo Bunting,Open Woodlands
Purple Gallinule,Marshes
Bar-tailed Godwit,Tundra
Varied Thrush,Forests
Red-necked Phalarope,Oceans
Glossy Ibis,Marshes
Mottled Duck,Marshes
Mountain Bluebird,Open Woodlands
Savannah Sparrow,Grasslands
Wood Duck,Lakes and Ponds
Monk Parakeet,Forests
Greater White-fronted Goose,Lakes and Ponds
Black-throated Gray Warbler,Forests
Common Tern,Shorelines
Chuck-will's-widow,Open Woodlands
Red-tailed Hawk,Grasslands
Willow Ptarmigan,Tundra
Glaucous Gull,Shorelines
Scissor-tailed Flycatcher,Grasslands
White-winged Crossbill,Forests
Muscovy Duck,Forests
Harlequin Duck,Rivers and Streams
Yellow-headed Blackbird,Marshes
Common Raven,Forests
Common Yellowthroat,Scrub
Common Grackle,Open Woodlands
Yellow-throated Vireo,Open Woodlands
Gray Catbird,Open Woodlands
Glaucous-winged Gull,Shorelines
Brown-headed Cowbird,Grasslands
Dickcissel,Grasslands
European Starling,Towns
Brown Creeper,Forests
Western Tanager,Forests
Yellow-throated Warbler,Forests
Henslow's Sparrow,Grasslands
Slaty-backed Gull,Shorelines
Black-throated Blue Warbler,Forests
Say's Phoebe,Grasslands
Black-bellied Whistling-Duck,Marshes
American Robin,Open Woodlands
Red-bellied Woodpecker,Forests
Long-tailed Duck,Lakes and Ponds
Western Meadowlark,Grasslands
Veery,Forests
Golden-crowned Sparrow,Scrub
Couch's Kingbird,Open Woodlands
Common Ground Dove,Scrub
Wood Thrush,Forests
American Golden-Plover,Grasslands
Ruddy Turnstone,Shorelines
Common Eider,Oceans
Clapper Rail,Marshes
Greater Scaup,Lakes and Ponds
American Avocet,Marshes
Pine Warbler,Forests
Red-throated Loon,Lakes and Ponds
Bicknell's Thrush,Forests
Painted Bunting,Scrub
Crested Caracara,Scrub
Forster's Tern,Marshes
Cedar Waxwing,Open Woodlands
Grasshopper Sparrow,Grasslands
Great Blue Heron,Marshes
Broad-winged Hawk,Forests
Ring-necked Duck,Lakes and Ponds
White-eyed Vireo,Scrub
Marsh Wren,Marshes
Yellow-bellied Flycatcher,Forests
Ash-throated Flycatcher,Open Woodlands
Brown Thrasher,Scrub
Rufous Hummingbird,Open Woodlands
Northern Fulmar,Oceans
American White Pelican,Lakes and Ponds
Virginia's Warbler,Open Woodlands
MacGillivray's Warbler,Open Woodlands
Snow Bunting,Grasslands
Tufted Titmouse,Forests
LeConte's Sparrow,Grasslands
Ring-necked Pheasant,Grasslands
Lazuli Bunting,Open Woodlands
Red-breasted Nuthatch,Forests
Semipalmated Plover,Shorelines
Sage Thrasher,Scrub
Gull-billed Tern,Shorelines
American Kestrel,Grasslands
Western Kingbird,Grasslands
Tree Swallow,Lakes and Ponds
Eared Grebe,Lakes and Ponds
Barrow's Goldeneye,Lakes and Ponds
Green Heron,Marshes
Prothonotary Warbler,Forests
American Black Duck,Lakes and Ponds
Northern Parula,Forests
White-rumped Sandpiper,Shorelines
Willet,Shorelines
Lincoln's Sparrow,Scrub
Great Gray Owl,Forests
Black Tern,Marshes
Great Black-backed Gull,Shorelines
Snowy Owl,Tundra
Lesser Black-backed Gull,Shorelines
Western Sandpiper,Shorelines
Least Flycatcher,Forests
Redpoll,Open Woodlands
American Redstart,Forests
Black-and-white Warbler,Forests
Green-winged Teal,Marshes
Arctic Tern,Shorelines
Brown Booby,Oceans
Ross's Gull,Marshes
Great Horned Owl,Forests
Lesser Scaup,Lakes and Ponds
Northern Bobwhite,Grasslands
Eastern Whip-poor-will,Open Woodlands
Little Blue Heron,Marshes
Gadwall,Marshes
Blue-headed Vireo,Forests
Pine Siskin,Open Woodlands
Red-footed Booby,Oceans
Red-shouldered Hawk,Forests
Dunlin,Shorelines
Short-billed Dowitcher,Marshes
Fox Sparrow,Forests
White-breasted Nuthatch,Forests
Short-eared Owl,Grasslands
Smith's Longspur,Grasslands
Hooded Warbler,Forests
Wood Stork,Marshes
Sharp-shinned Hawk,Forests
Wilson's Phalarope,Lakes and Ponds
Little Gull,Lakes and Ponds
Parasitic Jaeger,Tundra
American Herring Gull,Shorelines
Semipalmated Sandpiper,Shorelines
Northern Shrike,Open Woodlands
Northern Saw-whet Owl,Forests
American Oystercatcher,Shorelines
Magnificent Frigatebird,Oceans
Iceland Gull,Shorelines
Worm-eating Warbler,Forests
Cape May Warbler,Forests
Ferruginous Hawk,Grasslands
Eastern Towhee,Scrub
Red-breasted Merganser,Lakes and Ponds
Yellow Warbler,Open Woodlands
Northern Waterthrush,Forests
Surf Scoter,Oceans
Clark's Grebe,Marshes
Sanderling,Shorelines
American Crow,Open Woodlands
